,calendarDate,isOpen
9510,2017/01/01,0
9511,2017/01/02,0
9512,2017/01/03,1
9513,2017/01/04,1
9514,2017/01/05,1
9515,2017/01/06,1
9516,2017/01/07,0
9517,2017/01/08,0
9518,2017/01/09,1
9519,2017/01/10,1
9520,2017/01/11,1
9521,2017/01/12,1
9522,2017/01/13,1
9523,2017/01/14,0
9524,2017/01/15,0
9525,2017/01/16,1
9526,2017/01/17,1
9527,2017/01/18,1
9528,2017/01/19,1
9529,2017/01/20,1
9530,2017/01/21,0
9531,2017/01/22,0
9532,2017/01/23,1
9533,2017/01/24,1
9534,2017/01/25,1
9535,2017/01/26,1
9536,2017/01/27,0
9537,2017/01/28,0
9538,2017/01/29,0
9539,2017/01/30,0
9540,2017/01/31,0
9541,2017/02/01,0
9542,2017/02/02,0
9543,2017/02/03,1
9544,2017/02/04,0
9545,2017/02/05,0
9546,2017/02/06,1
9547,2017/02/07,1
9548,2017/02/08,1
9549,2017/02/09,1
9550,2017/02/10,1
9551,2017/02/11,0
9552,2017/02/12,0
9553,2017/02/13,1
9554,2017/02/14,1
9555,2017/02/15,1
9556,2017/02/16,1
9557,2017/02/17,1
9558,2017/02/18,0
9559,2017/02/19,0
9560,2017/02/20,1
9561,2017/02/21,1
9562,2017/02/22,1
9563,2017/02/23,1
9564,2017/02/24,1
9565,2017/02/25,0
9566,2017/02/26,0
9567,2017/02/27,1
9568,2017/02/28,1
9569,2017/03/01,1
9570,2017/03/02,1
9571,2017/03/03,1
9572,2017/03/04,0
9573,2017/03/05,0
9574,2017/03/06,1
9575,2017/03/07,1
9576,2017/03/08,1
9577,2017/03/09,1
9578,2017/03/10,1
9579,2017/03/11,0
9580,2017/03/12,0
9581,2017/03/13,1
9582,2017/03/14,1
9583,2017/03/15,1
9584,2017/03/16,1
9585,2017/03/17,1
9586,2017/03/18,0
9587,2017/03/19,0
9588,2017/03/20,1
9589,2017/03/21,1
9590,2017/03/22,1
9591,2017/03/23,1
9592,2017/03/24,1
9593,2017/03/25,0
9594,2017/03/26,0
9595,2017/03/27,1
9596,2017/03/28,1
9597,2017/03/29,1
9598,2017/03/30,1
9599,2017/03/31,1
9600,2017/04/01,0
9601,2017/04/02,0
9602,2017/04/03,0
9603,2017/04/04,0
9604,2017/04/05,1
9605,2017/04/06,1
9606,2017/04/07,1
9607,2017/04/08,0
9608,2017/04/09,0
9609,2017/04/10,1
9610,2017/04/11,1
9611,2017/04/12,1
9612,2017/04/13,1
9613,2017/04/14,1
9614,2017/04/15,0
9615,2017/04/16,0
9616,2017/04/17,1
9617,2017/04/18,1
9618,2017/04/19,1
9619,2017/04/20,1
9620,2017/04/21,1
9621,2017/04/22,0
9622,2017/04/23,0
9623,2017/04/24,1
9624,2017/04/25,1
9625,2017/04/26,1
9626,2017/04/27,1
9627,2017/04/28,1
9628,2017/04/29,0
9629,2017/04/30,0
9630,2017/05/01,0
9631,2017/05/02,1
9632,2017/05/03,1
9633,2017/05/04,1
9634,2017/05/05,1
9635,2017/05/06,0
9636,2017/05/07,0
9637,2017/05/08,1
9638,2017/05/09,1
9639,2017/05/10,1
9640,2017/05/11,1
9641,2017/05/12,1
9642,2017/05/13,0
9643,2017/05/14,0
9644,2017/05/15,1
9645,2017/05/16,1
9646,2017/05/17,1
9647,2017/05/18,1
9648,2017/05/19,1
9649,2017/05/20,0
9650,2017/05/21,0
9651,2017/05/22,1
9652,2017/05/23,1
9653,2017/05/24,1
9654,2017/05/25,1
9655,2017/05/26,1
9656,2017/05/27,0
9657,2017/05/28,0
9658,2017/05/29,0
9659,2017/05/30,0
9660,2017/05/31,1
9661,2017/06/01,1
9662,2017/06/02,1
9663,2017/06/03,0
9664,2017/06/04,0
9665,2017/06/05,1
9666,2017/06/06,1
9667,2017/06/07,1
9668,2017/06/08,1
9669,2017/06/09,1
9670,2017/06/10,0
9671,2017/06/11,0
9672,2017/06/12,1
9673,2017/06/13,1
9674,2017/06/14,1
9675,2017/06/15,1
9676,2017/06/16,1
9677,2017/06/17,0
9678,2017/06/18,0
9679,2017/06/19,1
9680,2017/06/20,1
9681,2017/06/21,1
9682,2017/06/22,1
9683,2017/06/23,1
9684,2017/06/24,0
9685,2017/06/25,0
9686,2017/06/26,1
9687,2017/06/27,1
9688,2017/06/28,1
9689,2017/06/29,1
9690,2017/06/30,1
9691,2017/07/01,0
9692,2017/07/02,0
9693,2017/07/03,1
9694,2017/07/04,1
9695,2017/07/05,1
9696,2017/07/06,1
9697,2017/07/07,1
9698,2017/07/08,0
9699,2017/07/09,0
9700,2017/07/10,1
9701,2017/07/11,1
9702,2017/07/12,1
9703,2017/07/13,1
9704,2017/07/14,1
9705,2017/07/15,0
9706,2017/07/16,0
9707,2017/07/17,1
9708,2017/07/18,1
9709,2017/07/19,1
9710,2017/07/20,1
9711,2017/07/21,1
9712,2017/07/22,0
9713,2017/07/23,0
9714,2017/07/24,1
9715,2017/07/25,1
9716,2017/07/26,1
9717,2017/07/27,1
9718,2017/07/28,1
9719,2017/07/29,0
9720,2017/07/30,0
9721,2017/07/31,1
9722,2017/08/01,1
9723,2017/08/02,1
9724,2017/08/03,1
9725,2017/08/04,1
9726,2017/08/05,0
9727,2017/08/06,0
9728,2017/08/07,1
9729,2017/08/08,1
9730,2017/08/09,1
9731,2017/08/10,1
9732,2017/08/11,1
9733,2017/08/12,0
9734,2017/08/13,0
9735,2017/08/14,1
9736,2017/08/15,1
9737,2017/08/16,1
9738,2017/08/17,1
9739,2017/08/18,1
9740,2017/08/19,0
9741,2017/08/20,0
9742,2017/08/21,1
9743,2017/08/22,1
9744,2017/08/23,1
9745,2017/08/24,1
9746,2017/08/25,1
9747,2017/08/26,0
9748,2017/08/27,0
9749,2017/08/28,1
9750,2017/08/29,1
9751,2017/08/30,1
9752,2017/08/31,1
9753,2017/09/01,1
9754,2017/09/02,0
9755,2017/09/03,0
9756,2017/09/04,1
9757,2017/09/05,1
9758,2017/09/06,1
9759,2017/09/07,1
9760,2017/09/08,1
9761,2017/09/09,0
9762,2017/09/10,0
9763,2017/09/11,1
9764,2017/09/12,1
9765,2017/09/13,1
9766,2017/09/14,1
9767,2017/09/15,1
9768,2017/09/16,0
9769,2017/09/17,0
9770,2017/09/18,1
9771,2017/09/19,1
9772,2017/09/20,1
9773,2017/09/21,1
9774,2017/09/22,1
9775,2017/09/23,0
9776,2017/09/24,0
9777,2017/09/25,1
9778,2017/09/26,1
9779,2017/09/27,1
9780,2017/09/28,1
9781,2017/09/29,1
9782,2017/09/30,0
9783,2017/10/01,0
9784,2017/10/02,0
9785,2017/10/03,0
9786,2017/10/04,0
9787,2017/10/05,0
9788,2017/10/06,0
9789,2017/10/07,0
9790,2017/10/08,0
9791,2017/10/09,1
9792,2017/10/10,1
9793,2017/10/11,1
9794,2017/10/12,1
9795,2017/10/13,1
9796,2017/10/14,0
9797,2017/10/15,0
9798,2017/10/16,1
9799,2017/10/17,1
9800,2017/10/18,1
9801,2017/10/19,1
9802,2017/10/20,1
9803,2017/10/21,0
9804,2017/10/22,0
9805,2017/10/23,1
9806,2017/10/24,1
9807,2017/10/25,1
9808,2017/10/26,1
9809,2017/10/27,1
9810,2017/10/28,0
9811,2017/10/29,0
9812,2017/10/30,1
9813,2017/10/31,1
9814,2017/11/01,1
9815,2017/11/02,1
9816,2017/11/03,1
9817,2017/11/04,0
9818,2017/11/05,0
9819,2017/11/06,1
9820,2017/11/07,1
9821,2017/11/08,1
9822,2017/11/09,1
9823,2017/11/10,1
9824,2017/11/11,0
9825,2017/11/12,0
9826,2017/11/13,1
9827,2017/11/14,1
9828,2017/11/15,1
9829,2017/11/16,1
9830,2017/11/17,1
9831,2017/11/18,0
9832,2017/11/19,0
9833,2017/11/20,1
9834,2017/11/21,1
9835,2017/11/22,1
9836,2017/11/23,1
9837,2017/11/24,1
9838,2017/11/25,0
9839,2017/11/26,0
9840,2017/11/27,1
9841,2017/11/28,1
9842,2017/11/29,1
9843,2017/11/30,1
9844,2017/12/01,1
9845,2017/12/02,0
9846,2017/12/03,0
9847,2017/12/04,1
9848,2017/12/05,1
9849,2017/12/06,1
9850,2017/12/07,1
9851,2017/12/08,1
9852,2017/12/09,0
9853,2017/12/10,0
9854,2017/12/11,1
9855,2017/12/12,1
9856,2017/12/13,1
9857,2017/12/14,1
9858,2017/12/15,1
9859,2017/12/16,0
9860,2017/12/17,0
