,secID,ticker,exchangeCD,ListSectorCD,ListSector,transCurrCD,secShortName,secFullName,listStatusCD,listDate,delistDate,equTypeCD,equType,exCountryCD,partyID,totalShares,nonrestFloatShares,nonrestfloatA,officeAddr,primeOperating,endDate,TShEquity
0,000001.XSHE,000001,XSHE,1,主板,CNY,平安银行,平安银行股份有限公司,L,1991-04-03,,A,沪深A股,CHN,2,17170411400.0,16917989700.0,16917989700.0,广东省深圳市罗湖区深南东路5047号,人民币、外币存贷款;国际、国内结算;票据贴现;外汇买卖;提供担保及信用证服务;提供保管箱服务等。,2017-03-31,2.07739e+11
1,000002.XSHE,000002,XSHE,1,主板,CNY,万科A,万科企业股份有限公司,L,1991-01-29,,A,沪深A股,CHN,3,11039152001.0,11024023227.0,9709067759.0,广东省深圳市盐田区大梅沙环梅路33号万科中心,房地产业务及投资零售业务。,2017-03-31,1.61986016323e+11
2,000003.XSHE,000003,XSHE,1,主板,CNY,PT金田A,金田实业(集团)股份有限公司,DE,1991-07-03,2002-06-14,A,沪深A股,CHN,4,333433584.0,266045712.0,191808910.0,"广东省深圳市罗湖区嘉宾路2018号深华商业大厦19楼1909室,广东省深圳市盐田综合保税区金马创新产业园B栋九层",工业(包括但不限于纺织业、电子、建材、化工、家电、五金、珠宝、首饰)生产与经营；房地产开发与经营；进出口贸易；能源、交通运输；综合服务业(包括但不限于酒楼、旅馆、商品零售、咨询服务、财务顾问)。,2016-12-31,-1783189263.04
3,000004.XSHE,000004,XSHE,1,主板,CNY,国农科技,深圳中国农大科技股份有限公司,L,1991-01-14,,A,沪深A股,CHN,5,83976700.0,82963700.0,82963700.0,广东省深圳市南山区中心路(深圳湾段)3333号中铁南方总部大厦503室,生物特征识别系统、生物制药的研发与销售、房地产开发和销售。,2017-03-31,176509855.96
4,000005.XSHE,000005,XSHE,1,主板,CNY,世纪星源,深圳世纪星源股份有限公司,L,1990-12-10,,A,沪深A股,CHN,6,1058536900.0,951222500.0,951222500.0,深圳市罗湖区深南东路2017号华乐大厦3楼,房地产、酒店式公寓管理、交通运输、商务咨询、软件开发、财经资讯等。,2017-03-31,1345628088.28
5,000006.XSHE,000006,XSHE,1,主板,CNY,深振业A,深圳市振业(集团)股份有限公司,L,1992-04-27,,A,沪深A股,CHN,7,1349995100.0,1344883900.0,1344883900.0,广东省深圳市罗湖区宝安南路2014号振业大厦B座11-17层,房地产开发与经营。,2017-03-31,5242470966.91
6,000007.XSHE,000007,XSHE,1,主板,CNY,全新好,深圳市全新好股份有限公司,L,1992-04-13,,A,沪深A股,CHN,8,346448000.0,308948000.0,308948000.0,深圳市福田区梅林街道梅康路8号理想时代大厦6楼,投资兴办实业(具体项目另外申报);国内商业、物资供销业(不含专营、专控、专卖商品);自有物业租赁;环保产品的技术开发;信息咨询(不含限制项目);项目投资(不含限制项目);房地产开发;酒店经营等。,2017-03-31,433004885.34
7,000008.XSHE,000008,XSHE,1,主板,CNY,神州高铁,神州高铁技术股份有限公司,L,1992-05-07,,A,沪深A股,CHN,9,2809078300.0,2010077700.0,2010077700.0,北京市海淀区高梁桥斜街59号院1号楼中坤大厦16层,轨道交通安全检测监测技术、数据采集及分析技术和智能化维护技术的研发与应用。,2017-03-31,6194428445.6
8,000009.XSHE,000009,XSHE,1,主板,CNY,中国宝安,中国宝安集团股份有限公司,L,1991-06-25,,A,沪深A股,CHN,10,2149344900.0,2120065500.0,2120065500.0,广东省深圳市笋岗东路宝安广场A座28-29层,高新技术产业、生物医药业和房地产业的投资。,2017-03-31,8290465274.21
9,000010.XSHE,000010,XSHE,1,主板,CNY,美丽生态,深圳美丽生态股份有限公司,L,1995-10-27,,A,沪深A股,CHN,11,819854700.0,522171500.0,522171500.0,广东省深圳市福田区中心四路1-1号嘉里建设广场第三座3201室,"高新技术项目的开发及相关产品的技术服务,计算机网络系统工程、计算机软、硬件的技术开发、生产、安装及系统集成,电子技术产品的技术开发、生产,信息咨询服务。",2017-03-31,2196464576.56
